Crocs,Water level,Temp,Year,Month
0.000000000000000000e+00, 8.966354818600348153e+01, 3.479999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.965376077399703547e+01, 3.529999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.965531621032226894e+01, 3.579999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.965390676035859485e+01, 3.410000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.965179876423552230e+01, 3.350000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.965128931427186387e+01, 3.289999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.964809441152497982e+01, 3.239999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.964038741822147927e+01, 3.329999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.963704476936221965e+01, 3.279999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.962000947379711135e+01, 3.289999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.960393088731035505e+01, 3.379999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.958816526532589819e+01, 3.270000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.958655947663076802e+01, 3.139999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.958672236550552270e+01, 3.420000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.958699640183650104e+01, 3.320000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.957822279535547239e+01, 3.410000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.956385630202612447e+01, 3.320000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.954673062502328662e+01, 3.500000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.953781712945395554e+01, 3.479999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.952991257078210197e+01, 3.639999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.952600754998826460e+01, 3.550000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.952563754167071863e+01, 3.579999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.951603824882712956e+01, 3.529999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.951794752503566599e+01, 3.620000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.952662537445509372e+01, 3.629999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.951375322387454503e+01, 3.629999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.951278750008306417e+01, 3.470000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.951376836299908746e+01, 3.750000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.950691221836076750e+01, 3.620000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.950881175133898182e+01, 3.470000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.950191128431725929e+01, 3.320000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 8.949690172638639751e+01, 3.250000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.950104457164707128e+01, 3.410000000000000142e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.949322592280714161e+01, 3.339999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.949363454669448004e+01, 3.370000000000000284e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.948692310742907807e+01, 3.350000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.949552237947882816e+01, 3.270000000000000284e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.948632604572509308e+01, 3.300000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.948227014572296412e+01, 3.260000000000000142e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.947723019501391661e+01, 3.339999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.946842347940852846e+01, 3.500000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.946311215252902116e+01, -10, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.946956428885096102e+01, -10, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.945958356921826748e+01, 2.960000000000000142e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.945923641863768694e+01, 3.229999999999999716e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.946397474365350888e+01, -10, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.946067354426567420e+01, 3.279999999999999716e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.945445996273724631e+01, 3.320000000000000284e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.945998571949169786e+01, 3.210000000000000142e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.945997517350343742e+01, 3.339999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.946377452821663212e+01, 3.289999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.946676703430122757e+01, 3.450000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.945900131050977677e+01, 3.400000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.946152701766617099e+01, 3.400000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.946155272482258169e+01, 3.520000000000000284e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.946352930321252472e+01, -10, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.945987127723964250e+01, 3.329999999999999716e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.946352554988352779e+01, 3.110000000000000142e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.945492768026436181e+01, 3.460000000000000142e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 8.945447266778806750e+01, -10, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.945040284774053418e+01, -10, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.944484835712118809e+01, 3.310000000000000142e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.945217192201455703e+01, 3.350000000000000000e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.945439334464488468e+01, 3.439999999999999858e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.944256190894414260e+01, 3.439999999999999858e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.944169261669462401e+01, -10, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.944006189706193766e+01, 3.189999999999999858e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.944465212862199621e+01, 3.300000000000000000e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.943780644659429413e+01, 3.220000000000000284e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.943541839193379417e+01, 3.229999999999999716e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.942539393000883763e+01, 3.239999999999999858e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.941005372851434174e+01, 3.200000000000000000e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.939356568149051441e+01, 3.250000000000000000e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 8.937729836011536122e+01, 3.279999999999999716e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
