,Species_ORIGINAL,Species,Size (feet),Position,UTC_Date,Latitude__,Longitude
0,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-22,-12.2920907,131.2889247
1,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-22,-12.30464703,131.2911376
2,C. porosus,Crocodylus porosus,13,Shallow water on edge,2022-07-22,-12.32205928,131.2794159
3,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-22,-12.33156578,131.2696257
4,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-22,-12.33214133,131.2696765
5,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.34075129,131.2688619
6,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-22,-12.34493321,131.2715857
7,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-22,-12.33677448,131.27793
8,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.34028269,131.277408
9,C. porosus,Crocodylus porosus,15,Shallow water on edge,2022-07-22,-12.3410873,131.2817516
10,C. porosus,Crocodylus porosus,13,Mid-stream,2022-07-22,-12.34501475,131.2795014
11,C. porosus,Crocodylus porosus,13,Shallow water on edge,2022-07-22,-12.36377321,131.2888864
12,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-22,-12.36661121,131.2903933
13,C. porosus,Crocodylus porosus,14,Mid-stream,2022-07-22,-12.36921327,131.2911893
14,C. porosus,Crocodylus porosus,3,On bank,2022-07-22,-12.3768561,131.299966
15,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-22,-12.37690475,131.3051744
16,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-22,-12.38065727,131.3080086
17,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-22,-12.38070821,131.3080195
18,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-22,-12.38358431,131.3104763
19,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-22,-12.38470988,131.3088085
20,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.38554985,131.311122
21,C. porosus,Crocodylus porosus,16,Shallow water on edge,2022-07-22,-12.38143799,131.3145977
22,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-22,-12.3812871,131.3173288
23,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-22,-12.37793349,131.3199714
24,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-22,-12.38139191,131.3246584
25,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-22,-12.38433751,131.3282087
26,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-22,-12.38433751,131.3282087
27,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-22,-12.39359559,131.325164
28,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-22,-12.39520287,131.3227191
29,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-22,-12.39606462,131.3155083
30,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.39330139,131.3128654
31,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-22,-12.39341837,131.3122174
32,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.39297478,131.3109846
33,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.39378196,131.3075761
34,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-22,-12.3946366,131.3066964
35,C. porosus,Crocodylus porosus,15,Shallow water on edge,2022-07-22,-12.39804766,131.3052295
36,C. porosus,Crocodylus porosus,6,Shallow water on edge,2022-07-22,-12.40246899,131.3092347
37,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-22,-12.40252316,131.3092692
38,C. porosus,Crocodylus porosus,5,Mid-stream,2022-07-22,-12.40507475,131.3147852
39,C. porosus,Crocodylus porosus,11,Mid-stream,2022-07-22,-12.4075371,131.315832
40,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-22,-12.41079882,131.316989
41,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-22,-12.41538172,131.3141416
42,C. porosus,Crocodylus porosus,10,On bank,2022-07-22,-12.41410913,131.3127055
43,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-22,-12.41542263,131.3100712
44,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-22,-12.41369305,131.3078129
45,C. porosus,Crocodylus porosus,13,Mid-stream,2022-07-22,-12.41434802,131.3071398
46,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.4130962,131.3039971
47,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-22,-12.41541792,131.3007618
48,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-22,-12.41969058,131.300783
49,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-22,-12.42391982,131.3008873
50,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-22,-12.4239698,131.3009612
51,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-22,-12.42514375,131.3006583
52,C. porosus,Crocodylus porosus,13,Shallow water on edge,2022-07-22,-12.42599162,131.3013681
53,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-22,-12.42435683,131.3021451
54,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.22252692,131.2408264
55,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.23608085,131.2615014
56,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.28710099,131.2791512
57,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.29148684,131.2832723
58,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.34557288,131.2712852
59,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.34556932,131.2712396
60,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.34338421,131.2638883
61,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.37579123,131.3039227
62,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.38115943,131.3079266
63,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.37879883,131.3238518
64,eyeshine,Crocodylus,0,In mangroves behind bank,2022-07-22,-12.38282712,131.3274527
65,eyeshine,Crocodylus,0,In mangroves behind bank,2022-07-22,-12.38844882,131.3282727
66,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.38894361,131.3262371
67,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.40004845,131.3067777
68,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.40106657,131.3067543
69,eyeshine,Crocodylus,0,In mangroves behind bank,2022-07-22,-12.40493519,131.3118645
70,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.40830312,131.3167431
71,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.41385721,131.310555
72,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.41278233,131.3066473
73,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.41611598,131.3008292
74,eyeshine,Crocodylus,0,Shallow water on edge,2022-07-22,-12.42061932,131.2992259
75,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.41854871,131.3010279
76,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.42618791,131.3015823
77,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.42472492,131.3064911
78,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-20,-12.42399565,131.3087293
79,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-20,-12.42367275,131.3099651
80,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.42507996,131.3105588
81,C. porosus,Crocodylus porosus,3,Shallow water on edge,2022-07-20,-12.42515086,131.3115958
82,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-20,-12.42385234,131.3133799
83,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.42668641,131.3156857
84,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.42669439,131.3157499
85,C. porosus,Crocodylus porosus,13,Shallow water on edge,2022-07-20,-12.42726224,131.318236
86,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43059055,131.3178732
87,C. porosus,Crocodylus porosus,3,Shallow water on edge,2022-07-20,-12.43107685,131.3192171
88,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-20,-12.43426963,131.3187399
89,C. porosus,Crocodylus porosus,13,Shallow water on edge,2022-07-20,-12.4362739,131.3187585
90,C. porosus,Crocodylus porosus,6,Shallow water on edge,2022-07-20,-12.43750503,131.3173426
91,C. porosus,Crocodylus porosus,12,In mangroves behind bank,2022-07-20,-12.43773338,131.3190898
92,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.43992732,131.318485
93,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.4417871,131.3214728
94,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.44035844,131.3246391
95,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-20,-12.44025064,131.3246478
96,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.43731688,131.3245498
97,C. porosus,Crocodylus porosus,2,On bank,2022-07-20,-12.43729032,131.3246022
98,C. porosus,Crocodylus porosus,3,Shallow water on edge,2022-07-20,-12.43508597,131.3258963
99,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43359241,131.327295
100,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43321268,131.3278487
101,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43282542,131.3286114
102,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43237311,131.3298654
103,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.4337169,131.3300813
104,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-20,-12.4328906,131.3308492
105,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.43361068,131.3326535
106,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-20,-12.43370102,131.3366662
107,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43372277,131.3366854
108,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43439153,131.3377091
109,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43441598,131.3377424
110,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43482518,131.3382594
111,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43568096,131.3390909
112,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43568096,131.3390909
113,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43571186,131.3390699
114,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43752027,131.3409034
115,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.43754065,131.3409106
116,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-20,-12.43864575,131.340015
117,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.43864575,131.340015
118,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-20,-12.43837006,131.3414441
119,C. porosus,Crocodylus porosus,3,Shallow water on edge,2022-07-20,-12.43960484,131.3419546
120,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-20,-12.44292177,131.3404
121,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-20,-12.44550789,131.3398396
122,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-20,-12.4451389,131.338639
123,C. porosus,Crocodylus porosus,6,Shallow water on edge,2022-07-20,-12.44625462,131.3362473
124,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-20,-12.4452073,131.3358298
125,C. porosus,Crocodylus porosus,10,On bank,2022-07-20,-12.44339493,131.3332932
126,C. porosus,Crocodylus porosus,6,Shallow water on edge,2022-07-20,-12.44339341,131.3332679
127,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-20,-12.44284178,131.3315379
128,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.44273228,131.3297728
129,C. porosus,Crocodylus porosus,13,Shallow water on edge,2022-07-20,-12.44451287,131.3275917
130,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-20,-12.44378772,131.3257665
131,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-20,-12.44617489,131.324928
132,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.44788637,131.3236717
133,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.44857505,131.3219691
134,C. porosus,Crocodylus porosus,15,Shallow water on edge,2022-07-20,-12.45090626,131.3216442
135,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-20,-12.45232587,131.3218432
136,C. porosus,Crocodylus porosus,11,Mid-stream,2022-07-20,-12.45327369,131.3226005
137,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.4543393,131.3224522
138,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.4558912,131.3236645
139,C. porosus,Crocodylus porosus,13,Shallow water on edge,2022-07-20,-12.4558912,131.3236645
140,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-20,-12.45688894,131.3247547
141,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.45715249,131.3251716
142,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.45640518,131.3273343
143,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.4576862,131.3276848
144,C. porosus,Crocodylus porosus,11,Mid-stream,2022-07-20,-12.45703693,131.3279896
145,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.45709518,131.331237
146,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.45530302,131.3318988
147,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.45529335,131.3319163
148,C. porosus,Crocodylus porosus,13,Mid-stream,2022-07-20,-12.45622784,131.3326509
149,C. porosus,Crocodylus porosus,13,Mid-stream,2022-07-20,-12.45510322,131.3330168
150,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-20,-12.45504762,131.3330301
151,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.45438616,131.3327977
152,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-20,-12.45432127,131.3336034
153,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-20,-12.45293872,131.3334806
154,C. porosus,Crocodylus porosus,7,Shallow water on edge,2022-07-20,-12.45290418,131.3334932
155,C. porosus,Crocodylus porosus,4,Mid-stream,2022-07-20,-12.45197371,131.334124
156,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-20,-12.45174945,131.3354398
157,C. porosus,Crocodylus porosus,15,Shallow water on edge,2022-07-20,-12.4488598,131.3363759
158,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.4499053,131.3372113
159,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-20,-12.44824303,131.3376939
160,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-20,-12.44823045,131.3377753
161,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-20,-12.44805839,131.3403919
162,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-20,-12.44807042,131.3404234
163,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-20,-12.44859664,131.3408947
164,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-20,-12.44861908,131.3408868
165,C. porosus,Crocodylus porosus,3,Shallow water on edge,2022-07-20,-12.44944452,131.3405983
166,C. porosus,Crocodylus porosus,6,Shallow water on edge,2022-07-20,-12.44945044,131.3406179
167,C. porosus,Crocodylus porosus,14,Mid-stream,2022-07-20,-12.4499938,131.3424848
168,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-20,-12.45085937,131.3419697
169,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.45214218,131.3417629
170,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-20,-12.45562093,131.3398774
171,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-20,-12.45836677,131.3362193
172,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.45924123,131.3359761
173,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.46023253,131.3358032
174,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-20,-12.4607627,131.3361442
175,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.46196053,131.3375581
176,C. porosus,Crocodylus porosus,17,Shallow water on edge,2022-07-20,-12.46300827,131.336412
177,C. porosus,Crocodylus porosus,3,Shallow water on edge,2022-07-20,-12.46300827,131.336412
178,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.46347421,131.33674
179,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.46315317,131.3381798
180,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-20,-12.46490213,131.3386044
181,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.46533777,131.3405316
182,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.46493619,131.3418223
183,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-20,-12.46328077,131.3445151
184,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-20,-12.46327384,131.3445315
185,C. porosus,Crocodylus porosus,13,On bank,2022-07-20,-12.46222444,131.3436844
186,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.46272288,131.3456439
187,C. porosus,Crocodylus porosus,10,In mangroves behind bank,2022-07-20,-12.46227866,131.3476487
188,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.46096897,131.347841
189,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-20,-12.46219943,131.3522976
190,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.46223284,131.3523663
191,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.46215096,131.3528757
192,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-20,-12.46334521,131.3533875
193,C. porosus,Crocodylus porosus,16,Mid-stream,2022-07-20,-12.46337575,131.3533848
194,C. porosus,Crocodylus porosus,14,Mid-stream,2022-07-20,-12.46419698,131.3541868
195,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.46492073,131.3546288
196,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.46575873,131.3548984
197,C. porosus,Crocodylus porosus,6,Shallow water on edge,2022-07-20,-12.46649788,131.3549165
198,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.466504,131.3549095
199,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.466504,131.3549095
200,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.4670215,131.3547028
201,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-20,-12.4696185,131.353054
202,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.46962052,131.3530448
203,C. porosus,Crocodylus porosus,12,In mangroves behind bank,2022-07-20,-12.47008729,131.3520221
204,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-20,-12.4689578,131.35101
205,C. porosus,Crocodylus porosus,13,Mid-stream,2022-07-20,-12.4701036,131.3510678
206,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-20,-12.47032421,131.3468432
207,C. porosus,Crocodylus porosus,6,In mangroves behind bank,2022-07-20,-12.47172817,131.3466079
208,C. porosus,Crocodylus porosus,14,Mid-stream,2022-07-20,-12.47125495,131.3451815
209,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-20,-12.47130656,131.3451474
210,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.47487233,131.342482
211,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-20,-12.47542091,131.3430557
212,C. porosus,Crocodylus porosus,13,Shallow water on edge,2022-07-20,-12.47729905,131.3430283
213,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.47782577,131.3420834
214,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.47963992,131.3425238
215,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.47963893,131.3425698
216,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-20,-12.48070948,131.3436783
217,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.47966292,131.3425051
218,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-20,-12.48125828,131.3449764
219,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.48260396,131.3466627
220,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-20,-12.48262789,131.3466801
221,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-20,-12.4827991,131.3476189
222,C. porosus,Crocodylus porosus,16,Mid-stream,2022-07-20,-12.4827983,131.347689
223,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.48228893,131.348176
224,C. porosus,Crocodylus porosus,8,Mid-stream,2022-07-20,-12.48294387,131.3487472
225,C. porosus,Crocodylus porosus,15,On bank,2022-07-20,-12.48264908,131.3503478
226,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.48166687,131.3512262
227,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-20,-12.4802379,131.3506057
228,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-20,-12.4802379,131.3506057
229,C. porosus,Crocodylus porosus,16,Shallow water on edge,2022-07-20,-12.47863465,131.3515419
230,C. porosus,Crocodylus porosus,3,On bank,2022-07-20,-12.47912308,131.3525774
231,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-20,-12.47653217,131.353362
232,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.47653217,131.353362
233,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-20,-12.47627295,131.3540901
234,C. porosus,Crocodylus porosus,14,Mid-stream,2022-07-20,-12.47561064,131.3549434
235,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-20,-12.47598395,131.3560137
236,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-20,-12.47596799,131.3560325
237,C. porosus,Crocodylus porosus,9,On bank,2022-07-20,-12.47524336,131.3585108
238,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-20,-12.47492697,131.3608136
239,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.47497468,131.363334
240,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.47497778,131.3633502
241,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-20,-12.47498165,131.3633672
242,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.47384385,131.3638597
243,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-20,-12.47398258,131.3648475
244,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.47475229,131.3671786
245,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.47476098,131.3671832
246,C. porosus,Crocodylus porosus,2,On bank,2022-07-20,-12.47621288,131.3673376
247,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-20,-12.47710582,131.3686617
248,C. porosus,Crocodylus porosus,13,Mid-stream,2022-07-20,-12.47810219,131.3687739
249,C. porosus,Crocodylus porosus,7,On bank,2022-07-20,-12.47808425,131.368829
250,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-20,-12.47900178,131.3688306
251,C. porosus,Crocodylus porosus,10,Shallow water on edge,2022-07-20,-12.48023557,131.3697699
252,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-20,-12.47996574,131.3682244
253,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-20,-12.48078414,131.3662364
254,C. porosus,Crocodylus porosus,4,Shallow water on edge,2022-07-20,-12.48080485,131.3662267
255,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-20,-12.48250858,131.3655078
256,C. porosus,Crocodylus porosus,17,Shallow water on edge,2022-07-20,-12.48138488,131.364644
257,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-20,-12.48212477,131.3633264
258,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.48367889,131.3635377
259,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.48454186,131.3613519
260,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-20,-12.48668934,131.3619479
261,C. porosus,Crocodylus porosus,9,Shallow water on edge,2022-07-20,-12.48670216,131.3619384
262,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-20,-12.48764412,131.3617937
263,C. porosus,Crocodylus porosus,3,Shallow water on edge,2022-07-20,-12.48832811,131.3618095
264,C. porosus,Crocodylus porosus,15,Shallow water on edge,2022-07-20,-12.48920729,131.3619244
265,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.49111324,131.3615173
266,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-20,-12.49320109,131.3650719
267,C. porosus,Crocodylus porosus,16,Shallow water on edge,2022-07-20,-12.49318553,131.3651167
268,C. porosus,Crocodylus porosus,2,Shallow water on edge,2022-07-20,-12.49311629,131.3653938
269,C. porosus,Crocodylus porosus,9,On bank,2022-07-20,-12.49187815,131.3647432
270,C. porosus,Crocodylus porosus,10,Mid-stream,2022-07-20,-12.491164,131.3673573
271,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-20,-12.49116178,131.36738450000001
272,C. porosus,Crocodylus porosus,6,Shallow water on edge,2022-07-20,-12.49055428,131.3698861
273,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.48888744,131.3723613
274,C. porosus,Crocodylus porosus,15,Shallow water on edge,2022-07-20,-12.49014361,131.3736285
275,C. porosus,Crocodylus porosus,13,Shallow water on edge,2022-07-20,-12.49013421,131.373755
276,C. porosus,Crocodylus porosus,7,Shallow water on edge,2022-07-20,-12.4915617,131.3771379
277,C. porosus,Crocodylus porosus,11,Shallow water on edge,2022-07-20,-12.49140478,131.3787289
278,C. porosus,Crocodylus porosus,15,Shallow water on edge,2022-07-20,-12.49528622,131.3810685
279,C. porosus,Crocodylus porosus,12,Shallow water on edge,2022-07-20,-12.49527421,131.3810237
280,C. porosus,Crocodylus porosus,3,Shallow water on edge,2022-07-20,-12.49698163,131.3813002
281,C. porosus,Crocodylus porosus,15,Shallow water on edge,2022-07-20,-12.49699922,131.3813012
282,C. porosus,Crocodylus porosus,2,On bank,2022-07-20,-12.50114913,131.3784871
283,C. porosus,Crocodylus porosus,14,Shallow water on edge,2022-07-20,-12.50229924,131.3771352
284,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-20,-12.50282171,131.3765097
285,C. porosus,Crocodylus porosus,5,Shallow water on edge,2022-07-20,-12.50597526,131.3752814
286,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-20,-12.50738836,131.3753185
287,C. porosus,Crocodylus porosus,12,Mid-stream,2022-07-20,-12.5103292,131.3768668
288,C. porosus,Crocodylus porosus,8,Shallow water on edge,2022-07-20,-12.51089251,131.3773702
