Crocs,Water level,Temp,Year,Month
0.000000000000000000e+00, 2.391333333333333311e+00, 3.270000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.298214285714285321e+00, 3.260000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.916125000000000078e+00, 3.250000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.837199999999999944e+00, 3.329999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.724166666666666847e+00, 3.220000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.721857142857142975e+00, 3.329999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.803545454545454785e+00, 3.370000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.051750000000000185e+00, 3.429999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.409605263157895472e+00, 3.470000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.823655737704918067e+00, 3.539999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.963175438596492128e+00, 3.610000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.440450000000000230e+00, 3.470000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.138181818181818183e+00, 3.579999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.092555555555555280e+00, 3.470000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.041399999999999881e+00, 3.579999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.559775510204081783e+00, 3.450000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.893400000000000638e+00, 3.360000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.774163265306122561e+00, 3.710000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.704325581395349065e+00, 3.710000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.574520000000000142e+00, 3.760000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.099400000000000155e+00, 3.629999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.810999999999999943e+00, -10, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.725375000000000103e+00, 3.610000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.659124999999999961e+00, 3.620000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.618600000000000039e+00, 3.610000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.555874999999999897e+00, 3.510000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.558999999999999941e+00, 3.400000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.504444444444444473e+00, 3.560000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.420545454545454556e+00, 3.329999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.539499999999999869e+00, 3.279999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.515363636363636468e+00, 3.429999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.558699999999999974e+00, 3.450000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.508999999999999897e+00, 3.400000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.442181818181818009e+00, 3.500000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.404199999999999893e+00, 3.589999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.300624999999999920e+00, 3.260000000000000142e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.685199999999999809e+00, 3.389999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 2.498318181818181660e+00, 3.250000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 2.518580000000000041e+00, -10, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 2.575326923076922903e+00, 3.639999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 2.423941176470588488e+00, 3.620000000000000284e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.867428571428571216e+00, 3.820000000000000284e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.741749999999999909e+00, 3.639999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.713799999999999768e+00, 3.470000000000000284e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.654875000000000096e+00, 3.720000000000000284e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.899000000000000021e+00, 3.729999999999999716e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.803555555555555578e+00, -10, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.734750000000000014e+00, 3.379999999999999716e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.675538461538461643e+00, 3.429999999999999716e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.760249999999999870e+00, 3.389999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 2.284576923076922839e+00, 3.400000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 2.203499999999999570e+00, 3.679999999999999716e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.726666666666666572e+00, -10, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.612500000000000044e+00, 3.570000000000000284e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.535499999999999865e+00, 3.539999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.477999999999999980e+00, 3.610000000000000142e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.624249999999999972e+00, 3.620000000000000284e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.880571428571429005e+00, -10, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 2.041714285714285371e+00, 3.560000000000000142e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 2.137571428571428900e+00, 3.500000000000000000e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 2.175454545454545308e+00, -10, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 1.985499999999999821e+00, -10, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 1.968400000000000150e+00, 3.350000000000000000e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 1.947200000000000042e+00, 3.500000000000000000e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 1.988428571428571212e+00, 3.189999999999999858e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 1.834000000000000075e+00, 3.439999999999999858e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 1.778599999999999737e+00, 3.300000000000000000e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 2.025499999999999634e+00, 3.130000000000000071e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 2.373647058823529221e+00, 3.289999999999999858e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 2.315363636363636513e+00, 3.350000000000000000e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 2.596928571428571253e+00, 3.180000000000000071e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 3.047372881355931984e+00, 2.960000000000000142e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 3.318416666666666348e+00, 3.150000000000000000e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 3.451546511627905822e+00, 3.180000000000000071e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 3.383500000000000618e+00, 3.130000000000000071e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 3.124609375000000355e+00, 3.370000000000000284e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 3.207114285714285806e+00, 3.069999999999999929e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 4.542652542372881186e+00, 3.339999999999999858e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 4.932344827586205405e+00, 3.439999999999999858e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 3.875712765957447292e+00, 3.450000000000000000e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 2.940838709677419782e+00, 3.500000000000000000e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
0.000000000000000000e+00, 2.292066666666666475e+00, 3.229999999999999716e+01, 1.999000000000000000e+03, 2.000000000000000000e+00
