Crocs,Water level,Temp,Year,Month
0.000000000000000000e+00, 1.378787878787878896e+00, 3.210000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.479357142857142593e+00, 3.189999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.352125000000000021e+00, 3.289999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.355400000000000160e+00, 3.270000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.333333333333333259e+00, 3.220000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.311571428571428388e+00, 3.060000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.302272727272727249e+00, 3.139999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.291875000000000107e+00, 2.850000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.374131578947368704e+00, 3.089999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.346442622950819512e+00, 3.039999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.285596491228070182e+00, 3.150000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.354600000000000026e+00, 3.000000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.238454545454545475e+00, 3.060000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.230333333333333279e+00, 3.080000000000000071e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.238700000000000134e+00, 3.030000000000000071e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.304306122448979588e+00, 2.730000000000000071e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.253166666666666540e+00, 3.100000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.238857142857142879e+00, 3.139999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.174767441860465222e+00, 3.080000000000000071e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.148760000000000003e+00, 2.939999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.143400000000000194e+00, 3.250000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.144749999999999934e+00, 3.220000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.136375000000000135e+00, 3.210000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.131124999999999936e+00, 3.260000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.125999999999999890e+00, 3.300000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.128750000000000142e+00, 3.250000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.121375000000000011e+00, 3.279999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.112555555555555742e+00, 3.210000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.106545454545454721e+00, 3.289999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.105699999999999905e+00, 3.180000000000000071e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.101090909090909120e+00, 2.989999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 1.100200000000000289e+00, 2.910000000000000142e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.096500000000000252e+00, 3.080000000000000071e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.093636363636363740e+00, 3.030000000000000071e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.089399999999999924e+00, 3.100000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.084375000000000089e+00, 3.189999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.086333333333333373e+00, 2.960000000000000142e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.083636363636363731e+00, 2.789999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 1.064519999999999911e+00, 2.830000000000000071e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
