,Location,Count
239,catalina,1
240,katalina,1
241,holmes jungle,3
242,ngukurr boat ramp,1
243,elizabeth valley farm,2
244,lagoon near vesties beach,1
245,channel point,4
246,"port bradshaw, nhulunbuy",4
247,marlow lagoon drain,1
248,635 bees creek road,1
249,wangi down stream,1
250,"cascades, litchfield",1
251,elizabeth river fresh,1
252,"borroloola, council boat ramp",27
253,"flat rock, urapunga community",1
254,near larrakeyah navy base,1
255,myrmidon,6
256,secrett road,1
257,manbulloo homestad,1
258,palmerston sewer pond,1
259,fogg dam 2,1
260,vanderlin drive,1
261,west arm b,1
262,"gumarrirnbang outstation, maningrida",1
263,micketts aerial farm,3
264,leeders crk,1
265,ironstone lagoon,2
266,mary river,2
267,darwin river weeds section,2
268,upstream berry 1,12
269,wandawuy,1
270,mymirden,1
271,myrmidon creek (inpex),65
272,two fella creek billabong,2
273,elizabeth fresh,2
274,myrmiden creek,2
275,angurugu community groote eylandt,1
276,goulburn island,1
277,mrymdon,1
278,saltwater arm,1
279,mandorah-two fella,1
280,calmas rd karama,1
281,"borroloola, king ash bay",24
282,2 fella creek swamp,1
283,morgan road,1
284,two fella crk,1
285,myrmindon,1
286,frances creek mine,1
287,howard drains. bronzewing ave,1
288,six pack creek,1
289,elizabeth river bates place,1
290,one fella creek,2
291,howard river drains,2
292,nightcliff boat ramp,1
293,"elizabeth- fresh,bees creek",1
294,daly river community trap,1
295,blaydin point,1
296,bynoe,3
297,"cascade fallscreek, litchfield",1
298,douglas daly bridge,9
299,elizabeth fresh/ bees ck,1
300,berry mouth b,47
301,big horse creek,1
302,impex,1
303,berry trap 2,7
304,740 bees crk road,1
305,rapid creek rotunda,1
306,yirrkala,1
307,fish tank in driver,1
308,buffalo creek (nhulunbuy),1
309,howard drains,21
310,buffalo creek near surf club,1
311,jefferies road,1
312,lake dean,2
313,berry springs 3,1
314,crab claw island,6
315,trippe road property,1
316,daly river township,1
317,edith river,1
318,nitmiluk 1st gorge (katherine),21
319,"elizabeth river, bates place",1
320,no name creek,5
321,leanyer sewage,4
322,375 gulnare rd,1
323,shoal bay tip,1
324,leanyer sewerage,2
325,crab claw,2
326,stokes hill wharf,1
327,adelaide river bridge,1
328,wangi falls,2
329,daly river mango farm,1
330,mcminns drive mcminns lagoon,1
331,palmerston sewage,1
332,"9 apostle place, howard springs",1
333,cascades,2
334,inpex site,1
335,(defunct) berry springs1,1
336,berry springs main pool,1
337,berry springs mid trap 1 & 2,1
338,victoria river - look back creek,1
339,blackmore river/ middle arm,1
340,blackmore / middle arm,1
341,blackmore/ middle arm,2
342,larrakeyah,5
343,mary river crossing,2
344,berry trap 3,2
345,casuarina beach nr. sandy creek,1
346,lake deane,7
347,rapid creek bridge,1
348,wagait,2
349,larrakeyah barracks,1
350,creek at wagait beach,1
351,berry springs weir,3
352,"finniss river, batchelor",1
353,mymidon creek,1
354,manton creek,2
355,marlow's lagoon,1
356,darwin river (weeds),1
357,"duwun rd drain, rosebery",1
358,blackmore river,5
359,scrutton road,1
360,355 gulnare rd,1
361,black jungle reserve,1
362,berrimah sewage ponds,3
363,roper bar,1
364,"fowler rd, finnis river",1
365,"wulumba lagoon, manangoora station",1
366,vanderlin dr berrimah,1
367,580 bees creek rd,1
368,45 belgrave rd bees creek.,1
369,"22 hawks ct, acacia hills",1
370,litchfield cascade falls creek,2
371,big horse boat ramp,1
372,berrimah police station,1
373,larrakeyah base,1
374,wickman/victoria rivers (roper),1
375,bees cr,5
376,rapid cr,1
377,berry creek 1,4
378,172 bees creek rd,1
379,berry creek 2,6
380,"40 cavalcade rd, humpty doo.",1
381,"swamp rd, humpty doo",1
382,howard river drain,1
383,east point reserve,1
384,7 mills street millner,1
