,Location,Count
0,borroloola,102
1,nhulunbuy,132
2,outside management zone,372
3,katherine zone,66
4,upper harbour,1268
5,management zone,957
6,shoal bay,1145
7,lower harbour,711
8,litchfield,172
9,nan,77
