Crocs,Temp,Year,Month
0.000000000000000000e+00, 3.130000000000000071e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.239999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.189999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.200000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.229999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.250000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.030000000000000071e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.050000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.850000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.110000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.289999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.279999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.310000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.180000000000000071e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.039999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.039999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.169999999999999929e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.260000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.329999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.270000000000000284e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.310000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.160000000000000142e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.130000000000000071e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.869999999999999929e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.939999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.150000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.169999999999999929e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.980000000000000071e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.229999999999999716e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 2.889999999999999858e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.150000000000000000e+01, 1.999000000000000000e+03, 0.000000000000000000e+00
0.000000000000000000e+00, 3.150000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 3.169999999999999929e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 2.930000000000000071e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 3.039999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 3.130000000000000071e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 3.110000000000000142e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 3.150000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 2.830000000000000071e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 3.110000000000000142e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 2.950000000000000000e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 3.189999999999999858e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
0.000000000000000000e+00, 2.869999999999999929e+01, 1.999000000000000000e+03, 1.000000000000000000e+00
